iter	value
5000	1.58
10000	2.05
15000	2.29
20000	2.41
25000	2.51
30000	2.58
35000	2.58
40000	2.59
45000	2.69
50000	2.83
55000	2.91
60000	3.05
65000	3.18
70000	3.28
75000	3.94
80000	4.04
100000	4.51
120000	5.25
140000	6.0
160000	6.18
180000	6.32
200000	6.5
220000	6.7
240000	7.0
260000	7.62
280000	7.77
300000	7.8
320000	7.83
340000	8.03
360000	8.18
380000	8.44
480000	9.19
580000	10.59
680000	11.35
780000	13.1
880000	13.65
1000000	14.85
1200000	16.08
1400000	17.39
1600000	18.14
1800000	19.82
2000000	20.65
2200000	21.33
2400000	22.26
2600000	23.32
2800000	23.9
3000000	24.93
