iter	value
5000	1.64
10000	1.78
15000	1.94
20000	2.12
25000	2.15
30000	3.09
35000	3.36
40000	3.48
45000	3.71
50000	3.81
55000	3.9
60000	3.99
65000	4.07
70000	4.17
75000	4.44
80000	4.55
100000	4.87
120000	5.16
140000	5.44
160000	5.46
180000	5.75
200000	5.88
220000	5.97
240000	6.14
260000	6.32
280000	6.44
300000	6.56
320000	6.65
340000	6.74
360000	6.88
380000	6.79
480000	7.36
580000	8.53
680000	9.46
780000	11.5
880000	12.71
1000000	14.0
1200000	16.79
1400000	19.11
1600000	21.67
1800000	23.84
2000000	25.71
2200000	27.35
2400000	29.81
2600000	31.86
2800000	33.33
3000000	34.99
3200000	38.67
3400000	41.72
3600000	43.11
3800000	44.33
4000000	45.04
4200000	46.71
4400000	47.86
4600000	49.04
4800000	50.54
5000000	51.86
5200000	52.7
5400000	56.16
5600000	57.79
5800000	58.33
