iter	value
5000	0.51
10000	0.59
15000	0.6
20000	0.6
25000	0.63
30000	0.65
35000	0.64
40000	0.64
45000	0.67
50000	0.65
55000	0.65
60000	0.66
65000	0.64
70000	0.61
75000	1.04
80000	1.02
100000	0.94
120000	0.82
140000	0.77
160000	0.76
180000	0.77
200000	0.75
220000	0.74
240000	0.72
260000	0.69
280000	0.68
300000	0.67
320000	0.67
340000	0.67
360000	0.67
380000	0.63
480000	0.58
580000	0.62
680000	0.61
780000	0.62
880000	0.64
1000000	0.65
1200000	0.64
1400000	0.64
1600000	0.67
1800000	0.72
2000000	0.73
2200000	0.71
2400000	0.73
2600000	0.73
2800000	0.73
3000000	0.75
