t	s(t)
100	106.37931034482759
150	128.79310344827587
200	147.80459770114942
250	164.7816091954023
300	181.8505747126437
350	197.09195402298852
400	213.90804597701148
450	228.2528735632184
500	241.89655172413794
550	255.77011494252875
600	270.13793103448273
650	282.41379310344826
700	294.55172413793105
750	306.0344827586207
800	317.41379310344826
850	328.0344827586207
900	338.62068965517244
950	348.9080459770115
1000	358.88505747126436
1050	369.7471264367816
1100	379.4942528735632
1150	389.51724137931035
1200	400.8965517241379
1250	410.7931034482759
1300	419.4712643678161
1350	429.0689655172414
1400	438.02298850574715
1450	446.5057471264368
1500	455.85057471264366
1550	464.0
1600	472.7471264367816
1650	481.632183908046
1700	489.91954022988506
1750	498.5632183908046
1800	508.1609195402299
1850	515.8275862068965
1900	523.4137931034483
1950	531.9770114942529
2000	540.2758620689655
2050	548.4022988505748
2100	556.7931034482758
2150	564.6781609195402
2200	571.9080459770115
2250	578.8965517241379
2300	585.9655172413793
2350	593.4367816091954
2400	600.6091954022988
2450	607.4827586206897
2500	614.4252873563219
2550	621.3218390804598
2600	628.2298850574713
2650	635.1379310344828
2700	642.528735632184
2750	649.4022988505748
2800	656.3563218390805
2850	663.8390804597701
2900	670.183908045977
2950	677.1724137931035
3000	684.080459770115
3050	690.9310344827586
3100	696.8850574712644
3150	703.816091954023
3200	710.816091954023
3250	717.2413793103449
3300	724.1379310344828
3350	731.4367816091954
3400	737.2873563218391
3450	743.3678160919541
3500	750.3103448275862
3550	756.4022988505748
3600	762.528735632184
3650	769.2183908045977
3700	775.448275862069
3750	782.183908045977
3800	788.448275862069
3850	794.2413793103449
3900	800.0459770114943
3950	806.0574712643678
4000	811.6206896551724
4050	817.2298850574713
4100	823.1034482758621
4150	829.7586206896551
4200	835.2298850574713
4250	840.9425287356322
4300	846.7586206896551
4350	852.2298850574713
4400	857.919540229885
4450	864.3448275862069
4500	869.6206896551724
4550	875.9655172413793
4600	881.735632183908
4650	887.528735632184
4700	893.3103448275862
4750	898.7931034482758
4800	903.8850574712644
4850	909.2988505747127
4900	914.4597701149426
4950	919.6666666666666
