iter	value
5000	11.73
10000	17.08
15000	18.99
20000	21.18
25000	22.33
30000	24.4
35000	25.7
40000	27.57
45000	28.19
50000	28.35
55000	28.6
60000	29.02
65000	29.94
70000	30.69
75000	32.85
80000	32.71
100000	36.82
120000	37.71
140000	40.81
160000	42.47
180000	46.48
200000	53.93
220000	56.76
240000	58.29
260000	62.99
280000	64.05
300000	64.43
320000	67.25
340000	68.25
360000	67.37
380000	69.33
480000	74.83
580000	79.59
680000	82.74
780000	88.05
880000	94.09
1000000	101.76
1200000	109.93
1400000	113.96
1600000	117.08
1800000	121.8
2000000	126.2
2200000	130.16
2400000	135.87
2600000	149.63
2800000	188.18
3000000	204.27
3200000	220.26
3400000	228.13
3600000	234.52
3800000	236.75
4000000	238.46
4200000	235.71
4400000	225.98
