iter	value
5000	0.53
10000	0.79
15000	0.73
20000	0.72
25000	0.71
30000	0.71
35000	0.69
40000	0.77
45000	0.77
50000	0.76
55000	0.7
60000	0.7
65000	0.7
70000	0.68
75000	0.83
80000	0.81
100000	0.81
120000	0.78
140000	0.75
160000	0.74
180000	0.75
200000	0.73
220000	0.7
240000	0.68
260000	0.65
280000	0.64
300000	0.65
320000	0.63
340000	0.62
360000	0.62
380000	0.62
480000	0.58
580000	0.57
680000	0.56
780000	0.58
880000	0.59
1000000	0.67
1200000	0.65
1400000	0.65
1600000	0.67
1800000	0.71
2000000	0.72
2200000	0.74
2400000	0.74
2600000	0.75
2800000	0.77
3000000	0.79
