iter	value
5000	1.09
10000	1.06
15000	1.09
20000	1.16
25000	1.17
30000	1.23
35000	1.26
40000	1.27
45000	1.3
50000	1.32
55000	1.33
60000	1.35
65000	1.37
70000	1.38
75000	1.33
80000	1.33
100000	1.39
120000	1.44
140000	1.44
160000	1.48
180000	1.52
200000	1.49
220000	1.51
240000	1.52
260000	1.43
280000	1.43
300000	1.41
320000	1.39
340000	1.37
360000	1.37
380000	1.37
480000	1.26
580000	1.2
680000	1.13
780000	1.1
880000	1.1
1000000	1.07
1200000	1.04
1400000	1.19
1600000	1.19
1800000	1.16
2000000	1.1
2200000	1.08
2400000	1.05
2600000	1.04
2800000	1.04
3000000	1.02
3200000	0.98
3400000	1.07
3600000	1.06
3800000	1.06
4000000	1.06
4200000	1.05
4400000	1.06
4600000	1.06
4800000	1.06
5000000	1.05
5200000	1.05
5400000	1.04
5600000	1.04
5800000	1.03
