iter	value
5000	7.98
10000	11.81
15000	15.65
20000	21.63
25000	25.39
30000	28.57
35000	31.06
40000	32.77
45000	35.35
50000	39.06
55000	42.32
60000	43.69
65000	46.38
70000	48.6
75000	52.91
80000	56.14
100000	71.78
120000	83.59
140000	98.22
160000	102.78
180000	106.39
200000	110.39
220000	116.56
240000	121.06
260000	126.28
280000	134.65
300000	137.28
320000	141.13
340000	144.36
360000	147.53
380000	160.36
480000	184.03
580000	205.78
680000	217.63
780000	232.48
880000	256.49
1000000	270.65
1200000	298.65
1400000	325.73
