iter	value
5000	1.23
10000	1.41
15000	1.92
20000	2.18
25000	2.3
30000	8.22
35000	8.77
40000	9.4
45000	9.8
50000	9.96
55000	10.11
60000	10.41
65000	10.6
70000	10.7
75000	10.9
80000	11.0
100000	11.31
120000	11.59
140000	12.1
160000	11.83
180000	12.0
200000	12.23
220000	12.3
240000	10.15
260000	10.28
280000	10.37
300000	10.43
320000	10.4
340000	10.44
360000	10.52
380000	10.12
480000	9.49
580000	11.02
680000	11.43
780000	16.98
880000	18.38
1000000	18.91
1200000	22.74
1400000	24.53
1600000	27.25
1800000	33.35
2000000	33.92
2200000	37.03
2400000	40.55
2600000	44.0
2800000	46.83
3000000	47.23
3200000	54.97
3400000	58.86
3600000	60.23
3800000	62.3
4000000	63.2
4200000	67.47
4400000	69.01
4600000	69.99
4800000	69.82
5000000	70.76
5200000	71.58
5400000	75.27
5600000	75.23
5800000	76.27
