iter	value
5000	0.8
10000	1.2
15000	1.37
20000	1.44
25000	1.58
30000	1.67
35000	1.66
40000	1.67
45000	1.79
50000	1.85
55000	1.89
60000	2.01
65000	2.02
70000	2.01
75000	4.1
80000	4.14
100000	4.21
120000	4.32
140000	4.65
160000	4.71
180000	4.85
200000	4.9
220000	4.95
240000	5.04
260000	5.23
280000	5.28
300000	5.25
320000	5.22
340000	5.35
360000	5.48
380000	5.32
480000	5.37
580000	6.54
680000	6.96
780000	8.19
880000	8.68
1000000	9.6
1200000	10.34
1400000	11.17
1600000	12.08
1800000	14.35
2000000	15.12
2200000	15.22
2400000	16.31
2600000	17.11
2800000	17.5
3000000	18.63
