t	a(t)
50	10.691419243986255
100	11.625215635738835
150	12.281512027491408
200	12.756769587628856
250	13.12565618556701
300	13.583760309278343
350	13.874946907216497
400	14.141151202749137
450	14.360461340206196
500	14.550154982817878
550	14.708191237113407
600	14.923423883161517
650	15.089933161512027
700	15.22326271477664
750	15.396701202749135
800	15.458477663230255
850	15.582595532646057
900	15.685191237113413
950	15.77186666666667
1000	15.87256134020618
1050	15.96061907216495
1100	16.042967182130585
1150	16.10808402061856
1200	16.225657731958773
1250	16.290053264604822
1300	16.393341924398612
1350	16.491976460481098
1400	16.573876288659807
1450	16.631230068728513
1500	16.69769845360825
1550	16.82904914089349
1600	16.891121649484553
1650	16.978620274914093
1700	17.054553436426122
1750	17.087741580756024
1800	17.158368041237104
1850	17.203094329896913
1900	17.23203075601375
1950	17.261090378006894
2000	17.318948969072164
2050	17.367168041237118
2100	17.46050532646048
2150	17.54068591065292
2200	17.58891941580757
2250	17.66772972508592
2300	17.72915721649485
2350	17.78550618556703
2400	17.843360824742273
2450	17.89108384879725
2500	17.934087113402043
2550	17.99310068728524
2600	18.028678694158085
2650	18.05682766323023
2700	18.053555154639184
2750	18.085978178694173
2800	18.15631615120274
2850	18.165386254295523
2900	18.203845704467362
2950	18.228000343642606
3000	18.282433848797247
3050	18.29610962199313
3100	18.30579020618558
3150	18.36425395189006
3200	18.410800171821304
3250	18.402177147766334
3300	18.447256872852236
3350	18.474469587628857
3400	18.49270481099659
3450	18.519671993127155
3500	18.55223797250859
3550	18.55960137457045
3600	18.58230927835051
3650	18.625822852233654
3700	18.598265292096226
3750	18.63084158075602
3800	18.66323402061855
3850	18.694376975944994
3900	18.744691065292113
3950	18.79122577319587
4000	18.826076975944996
4050	18.878809278350516
4100	18.923031271477672
4150	18.950034879725077
4200	18.976810309278353
4250	18.994552233676973
4300	18.99285206185567
4350	19.025842611683846
4400	19.033103264604804
4450	19.063692611683862
4500	19.093035395189005
4550	19.11226838487971
4600	19.067192096219934
4650	19.096791752577314
4700	19.141513917525792
4750	19.14612886597939
4800	19.137867353951915
4850	19.16764175257731
4900	19.200484364261172
4950	19.24188487972508
5000	19.289670274914094
5050	19.316865120274922
5100	19.30861237113402
5150	19.34080807560139
5200	19.36078470790379
5250	19.395004810996557
5300	19.416134192439852
5350	19.43673230240548
5400	19.457923711340207
5450	19.46096048109964
5500	19.47216735395189
5550	19.47134140893472
5600	19.49160292096221
5650	19.518047766323004
5700	19.538976116838516
5750	19.559060137457045
5800	19.584801202749137
5850	19.587174398625407
5900	19.581959106529215
5950	19.622687800687277
6000	19.643690378006873
6050	19.640522680412364
6100	19.64745223367698
6150	19.673084192439855
6200	19.675945189003446
6250	19.692853264604807
6300	19.687569243986246
6350	19.706859450171812
6400	19.72401563573886
6450	19.723376632302394
6500	19.73119965635738
6550	19.742141065292095
6600	19.772155326460467
6650	19.803475429553266
6700	19.81633591065293
6750	19.83228161512026
6800	19.853989518900335
6850	19.873468384879732
6900	19.878840378006878
6950	19.913967697594508
7000	19.953135051546386
7050	19.975088831615114
7100	19.98612938144331
7150	20.007701202749118
7200	20.03149089347079
7250	20.042102749140888
7300	20.066981615120294
7350	20.0628176975945
7400	20.082262542955327
7450	20.093754467353953
7500	20.09278780068729
7550	20.103425773195866
7600	20.110214089347085
7650	20.126096048109975
7700	20.14449914089349
7750	20.107230068728523
7800	20.122289862542953
7850	20.127237972508567
7900	20.130723367697605
7950	20.152084364261174
8000	20.166390549828176
8050	20.17302182130582
8100	20.18665927835052
8150	20.20208367697595
8200	20.22315189003435
8250	20.23521804123711
8300	20.254954295532663
8350	20.2807355670103
8400	20.28703797250859
8450	20.29473556701031
8500	20.297856701030938
8550	20.316998109965642
8600	20.33002663230242
8650	20.354290893470818
8700	20.37611357388317
8750	20.3942202749141
8800	20.40713917525774
8850	20.4059266323024
8900	20.41399725085909
8950	20.42253161512027
9000	20.434619415807557
9050	20.427466666666657
9100	20.42817646048111
9150	20.4441798969072
9200	20.44860051546389
9250	20.463258419243974
9300	20.46425824742267
9350	20.475075773195886
9400	20.482708419243984
9450	20.49543951890033
9500	20.521470618556684
9550	20.532355326460497
9600	20.544960481099707
9650	20.544937457044682
9700	20.550454123711347
9750	20.564091580755985
9800	20.57634536082473
9850	20.607830240549834
9900	20.62499999999998
9950	20.635276460481105
10000	20.644013917525772
10050	20.633606185567054
10100	20.633629209622026
10150	20.64809553264608
10200	20.653645189003434
10250	20.654414948453592
10300	20.66212096219931
10350	20.65016546391753
10400	20.653082302405497
10450	20.664440034364247
10500	20.671025945017206
10550	20.67771872852234
10600	20.687614432989715
10650	20.70594037800686
10700	20.714873195876276
10750	20.731572852233676
10800	20.74479845360828
10850	20.734804810996575
10900	20.727410824742275
10950	20.73947474226804
11000	20.75572182130583
11050	20.76361855670104
11100	20.77801305841926
11150	20.782492611683875
11200	20.790244158075623
11250	20.808624914089346
11300	20.81419192439862
11350	20.824385395188987
11400	20.831650859106528
11450	20.740384020618546
11500	20.758231615120273
