t	a(t)
10	13.414570114942528
60	15.083208045977011
110	16.377562068965513
160	16.903964367816094
210	17.48945747126437
260	17.956511494252876
310	18.419747126436786
360	18.631887356321837
410	18.948620689655172
460	19.171724137931037
510	19.36601034482759
560	19.65528505747127
610	19.86255862068966
660	20.091757471264366
710	20.288372413793105
760	20.415689655172415
810	20.662275862068963
860	20.795831034482763
910	20.975010344827577
960	21.213848275862066
1010	21.353163218390804
1060	21.44183793103448
1110	21.526752873563215
1160	21.615210344827585
1210	21.680318390804597
1260	21.774325287356323
1310	21.875758620689652
1360	21.99165747126437
1410	22.062995402298853
1460	22.11747126436781
1510	22.225757471264366
1560	22.31527816091954
1610	22.435970114942528
1660	22.53912528735633
1710	22.658955172413794
1760	22.74379425287356
1810	22.824742528735634
1860	22.848305747126428
1910	22.888667816091953
1960	23.004125287356327
2010	23.089448275862075
2060	23.152798850574705
2110	23.239216091954034
2160	23.281020689655175
2210	23.32347701149425
2260	23.374203448275864
2310	23.458627586206894
2360	23.513602298850575
2410	23.584001149425294
2460	23.59463678160919
2510	23.636264367816086
2560	23.695856321839084
2610	23.739810344827582
2660	23.77383678160919
2710	23.812451724137933
2760	23.897839080459775
2810	23.88265517241379
2860	23.937917241379314
2910	24.01785747126437
2960	24.02185517241379
3010	24.066588505747127
3060	24.101134482758617
3110	24.135749425287354
3160	24.203213793103448
3210	24.197314942528738
3260	24.18176781609196
3310	24.193704597701156
3360	24.231610344827583
3410	24.276289655172413
3460	24.30611724137931
3510	24.30871494252872
3560	24.368729885057466
3610	24.385979310344826
3660	24.386667816091954
3710	24.44066206896551
3760	24.433251724137936
3810	24.451490804597707
3860	24.44591264367815
3910	24.466048275862068
3960	24.508186206896557
4010	24.549019540229878
4060	24.623093103448277
4110	24.650013793103458
4160	24.67099425287355
4210	24.696644827586194
4260	24.736447126436772
4310	24.748427586206905
4360	24.78122988505748
4410	24.80912298850574
4460	24.84420114942528
4510	24.898847126436777
4560	24.945811494252865
4610	24.979698850574696
4660	24.984614942528744
4710	25.015542528735626
4760	25.013811494252867
4810	25.06283218390805
4860	25.068159770114953
4910	25.09027011494253
4960	25.127875862068954
