iter	value
5000	6.7
10000	6.64
15000	6.95
20000	6.93
25000	6.91
30000	7.23
35000	7.21
40000	7.22
45000	7.22
50000	7.31
55000	7.3
60000	7.32
65000	7.32
70000	7.63
75000	7.64
80000	7.66
100000	7.64
120000	7.64
140000	7.69
160000	7.71
180000	7.75
200000	7.73
220000	7.8
240000	7.78
260000	8.13
280000	8.34
300000	8.56
320000	8.75
340000	8.84
360000	9.26
380000	9.28
480000	9.39
580000	12.63
680000	16.19
780000	19.21
880000	20.79
1000000	23.14
1200000	25.84
1400000	31.35
1600000	58.95
1800000	69.96
2000000	89.04
2200000	102.51
2400000	116.47
2600000	133.1
2800000	147.67
3000000	158.48
3200000	175.73
3400000	187.51
3600000	203.23
3800000	211.9
4000000	223.43
4200000	227.33
4400000	237.53
4600000	253.63
4800000	261.17
5000000	267.6
5200000	272.03
5400000	285.16
5600000	296.28
5800000	311.8
