iter	value
5000	1.61
10000	2.15
15000	2.71
20000	3.0
25000	3.02
30000	3.04
35000	3.15
40000	3.17
45000	3.27
50000	3.34
55000	3.39
60000	3.47
65000	3.47
70000	3.53
75000	3.76
80000	3.79
100000	4.13
120000	4.91
140000	5.43
160000	5.6
180000	5.76
200000	5.87
220000	6.11
240000	6.3
260000	6.75
280000	7.26
300000	7.3
320000	7.42
340000	7.58
360000	7.79
380000	8.04
480000	8.74
580000	9.24
680000	10.09
780000	10.95
880000	11.5
1000000	12.3
1200000	13.22
1400000	14.24
1600000	14.84
1800000	15.93
2000000	16.44
2200000	17.14
2400000	17.67
2600000	18.3
2800000	18.85
3000000	19.15
