iter	value
5000	4.07
10000	4.23
15000	4.5
20000	4.68
25000	4.74
30000	4.92
35000	5.04
40000	5.09
45000	5.07
50000	5.11
55000	5.25
60000	5.35
65000	5.38
70000	5.56
75000	5.64
80000	5.68
100000	5.79
120000	5.94
140000	6.18
160000	6.28
180000	6.43
200000	6.62
220000	6.76
240000	6.81
260000	7.01
280000	7.29
300000	7.78
320000	7.93
340000	8.05
360000	8.56
380000	8.84
480000	9.33
580000	10.84
680000	13.14
780000	16.02
880000	17.69
1000000	20.48
1200000	22.97
1400000	25.86
1600000	32.72
1800000	35.46
2000000	39.79
2200000	44.28
2400000	47.32
2600000	52.53
2800000	56.97
3000000	60.37
3200000	64.27
3400000	67.78
3600000	71.2
3800000	74.95
4000000	78.64
4200000	81.57
4400000	84.7
4600000	93.58
4800000	96.0
5000000	98.57
5200000	99.94
5400000	103.45
5600000	106.34
5800000	110.49
