iter	value
5000	367.76
10000	367.82
15000	355.77
20000	353.02
25000	355.33
30000	356.85
35000	358.31
40000	357.47
45000	356.27
50000	359.06
55000	357.16
60000	355.73
65000	359.01
70000	359.24
75000	361.31
80000	373.54
100000	384.25
120000	388.14
140000	390.93
160000	388.62
180000	391.68
200000	396.5
220000	399.19
240000	402.82
260000	402.07
280000	404.3
300000	453.9
320000	453.01
340000	452.99
360000	447.68
380000	448.09
480000	468.78
580000	487.84
680000	520.74
780000	532.44
880000	540.63
1000000	536.09
