t	b(t)
50	2.4005494252873563
100	2.2219298850574707
150	2.1209172413793107
200	2.009508045977012
250	1.9301459770114948
300	1.8489425287356331
350	1.7620448275862068
400	1.7115620689655173
450	1.680636781609195
500	1.6761931034482758
550	1.6405586206896552
600	1.6084758620689654
650	1.5820632183908043
700	1.5406793103448277
750	1.501034482758621
800	1.4706586206896555
850	1.4577080459770115
900	1.455044827586207
950	1.3882701149425287
1000	1.387164367816092
1050	1.3759758620689655
1100	1.3601505747126437
1150	1.3477034482758625
1200	1.337913793103448
1250	1.3388448275862068
1300	1.3383068965517242
1350	1.301570114942529
1400	1.2588287356321834
1450	1.2530505747126435
1500	1.2494586206896554
1550	1.2486632183908042
1600	1.2349758620689657
1650	1.232427586206897
1700	1.2126379310344828
1750	1.2028264367816097
1800	1.1820655172413792
1850	1.149480459770115
1900	1.1461459770114941
1950	1.1322954022988507
2000	1.1116885057471264
2050	1.1131954022988506
2100	1.1122206896551727
2150	1.10518275862069
2200	1.0963494252873565
2250	1.0887494252873562
2300	1.0893908045977012
2350	1.0774241379310348
2400	1.0292528735632185
2450	1.03356091954023
2500	1.032012643678161
2550	1.028109195402299
2600	1.0277931034482761
2650	1.0249689655172414
2700	1.0246735632183908
2750	1.0208425287356324
2800	1.0145528735632183
2850	1.0134459770114943
2900	1.0041218390804598
2950	0.9991827586206896
3000	0.9979885057471269
3050	0.9903114942528736
3100	0.9787137931034481
3150	0.9788482758620698
3200	0.9763034482758621
3250	0.9533045977011494
3300	0.9498
3350	0.945658620689655
3400	0.9383954022988505
3450	0.9302919540229884
3500	0.9264563218390806
3550	0.920712643678161
3600	0.9168459770114943
3650	0.9178321839080463
3700	0.9136701149425286
3750	0.9125402298850576
3800	0.9107367816091952
3850	0.9114517241379314
3900	0.9114735632183909
3950	0.9041402298850575
4000	0.8989436781609196
4050	0.8972954022988507
4100	0.89968275862069
4150	0.8896965517241378
4200	0.8878724137931033
4250	0.8858172413793103
4300	0.8798252873563221
4350	0.8794011494252875
4400	0.8792655172413795
4450	0.8766977011494251
4500	0.875683908045977
4550	0.8743183908045978
4600	0.8679356321839082
4650	0.8605057471264367
4700	0.8505114942528735
4750	0.8492356321839081
4800	0.8478298850574711
4850	0.8418022988505749
4900	0.8386528735632186
4950	0.8308229885057472
