iter	value
5000	6.53
10000	13.35
15000	26.27
20000	31.32
25000	32.39
30000	35.04
35000	37.14
40000	38.14
45000	41.04
50000	46.14
55000	49.58
60000	58.78
65000	62.13
70000	68.45
75000	71.38
80000	72.33
100000	81.32
120000	86.96
140000	92.5
160000	96.15
180000	98.93
200000	105.11
220000	112.51
240000	118.96
260000	124.87
280000	131.99
300000	135.76
320000	151.65
340000	158.9
360000	165.76
380000	175.0
480000	219.16
580000	199.45
680000	215.82
780000	231.41
880000	246.79
1000000	446.28
1200000	595.76
1400000	737.24
