iter	value
5000	5.01
10000	9.69
15000	14.94
20000	20.85
25000	23.91
30000	28.07
35000	31.08
40000	33.1
45000	36.33
50000	40.81
55000	43.76
60000	45.83
65000	48.93
70000	52.32
75000	57.76
80000	60.93
100000	76.13
120000	87.4
140000	111.45
160000	115.87
180000	117.68
200000	120.35
220000	122.84
240000	123.77
260000	126.43
280000	130.38
300000	130.78
320000	134.63
340000	137.14
360000	138.93
380000	152.73
480000	167.21
580000	180.45
680000	193.63
780000	207.75
880000	227.64
1000000	256.73
1200000	301.49
1400000	356.14
