iter	value
5000	11.57
10000	17.36
15000	20.17
20000	24.29
25000	27.1
30000	29.43
35000	32.7
40000	35.56
45000	39.38
50000	42.8
55000	46.4
60000	48.07
65000	50.55
70000	52.28
75000	54.69
80000	56.55
100000	63.54
120000	69.75
140000	76.25
160000	80.44
180000	85.63
200000	91.35
220000	98.77
240000	102.4
260000	109.68
280000	113.48
300000	117.85
320000	121.53
340000	124.97
360000	126.99
380000	128.77
480000	143.12
580000	156.16
680000	165.64
780000	176.97
880000	188.01
1000000	200.88
1200000	217.41
1400000	231.82
1600000	252.36
1800000	262.42
2000000	274.29
2200000	287.81
2400000	306.2
2600000	345.86
2800000	387.86
3000000	413.21
3200000	440.82
3400000	459.18
3600000	482.17
3800000	490.09
4000000	500.45
4200000	503.22
4400000	501.84
