t	b(t)
1000	4.403128735632184
1050	4.247632183908047
1100	4.277404597701151
1150	4.211741379310345
1200	4.166367816091954
1250	4.149647126436784
1300	4.077877011494253
1350	4.118787356321838
1400	4.074560919540231
1450	4.029071264367816
1500	4.040849425287356
1550	4.01383908045977
1600	4.0007287356321815
1650	3.975758620689656
1700	3.886898850574715
1750	3.923421839080461
1800	3.8861643678160918
1850	3.874689655172415
1900	3.8912574712643684
1950	3.8873137931034476
2000	3.8751517241379316
2050	3.8863091954022977
2100	3.8479551724137915
2150	3.785783908045978
2200	3.701091954022988
2250	3.669302298850575
2300	3.6674011494252867
2350	3.633052873563218
2400	3.616551724137931
2450	3.626387356321837
2500	3.5889735632183895
2550	3.5833758620689666
2600	3.5697195402298867
2650	3.517171264367816
2700	3.5177206896551723
2750	3.45893448275862
2800	3.4475241379310337
2850	3.424796551724138
2900	3.356305747126436
2950	3.308033333333333
3000	3.3000735632183895
3050	3.29017816091954
3100	3.2922126436781616
3150	3.262922988505747
3200	3.227688505747127
3250	3.2073160919540227
3300	3.136674712643678
3350	3.082242528735633
3400	3.0296781609195382
3450	3.042571264367816
3500	3.0642321839080457
3550	3.0461229885057466
3600	3.0325712643678164
3650	3.0246999999999997
3700	3.031891954022989
3750	3.0362999999999998
3800	3.052381609195404
3850	3.0436770114942533
3900	2.9877137931034476
3950	3.0015310344827593
4000	2.979340229885058
4050	2.9732494252873565
4100	2.98699540229885
4150	2.998674712643678
4200	3.0101540229885058
4250	2.97685172413793
4300	2.957195402298851
4350	2.9710126436781605
4400	2.952774712643678
4450	2.94282988505747
4500	2.947559770114941
4550	2.948628735632183
4600	2.945406896551724
4650	2.9575643678160928
4700	2.9372310344827586
4750	2.9254816091954017
4800	2.937587356321839
4850	2.910825287356322
4900	2.9042988505747127
4950	2.906414942528736
