iter	value
5000	10.64
10000	15.42
15000	17.46
20000	19.37
25000	21.24
30000	22.25
35000	23.62
40000	24.59
45000	25.53
50000	25.67
55000	26.3
60000	26.59
65000	27.17
70000	28.75
75000	31.3
80000	32.4
100000	36.52
120000	38.73
140000	41.15
160000	43.3
180000	48.22
200000	55.78
220000	57.39
240000	59.19
260000	64.26
280000	65.42
300000	65.09
320000	68.37
340000	69.5
360000	69.27
380000	70.0
480000	76.55
580000	81.36
680000	84.07
780000	90.21
880000	93.44
1000000	97.54
1200000	106.32
1400000	109.16
1600000	115.06
1800000	119.39
2000000	124.94
2200000	130.21
2400000	141.7
2600000	166.03
2800000	180.88
3000000	204.1
3200000	217.75
3400000	223.92
3600000	218.21
3800000	218.89
4000000	222.46
4200000	221.4
4400000	221.99
