iter	value
15000	0.93
20000	0.87
25000	0.84
30000	0.83
35000	0.81
40000	0.8
45000	0.76
50000	0.72
55000	0.7
60000	0.69
65000	0.68
70000	0.68
75000	0.71
80000	0.68
100000	0.69
120000	0.67
140000	0.63
160000	0.58
180000	0.61
200000	0.63
220000	0.62
240000	0.59
260000	0.62
280000	0.62
300000	0.61
320000	0.62
340000	0.61
360000	0.59
380000	0.59
480000	0.59
580000	0.58
680000	0.57
780000	0.57
880000	0.56
1000000	0.54
1200000	0.53
1400000	0.52
1600000	0.51
1800000	0.51
2000000	0.5
2200000	0.5
2400000	0.53
2600000	0.57
2800000	0.56
3000000	0.55
3200000	0.55
3400000	0.54
3600000	0.52
3800000	0.5
4000000	0.49
4200000	0.49
4400000	0.49
