iter	value
5000	0.87
10000	1.7
15000	2.33
20000	2.71
25000	2.73
30000	2.75
35000	2.73
40000	2.75
45000	2.84
50000	2.9
55000	2.91
60000	3.0
65000	2.82
70000	2.88
75000	3.31
80000	3.23
100000	3.38
120000	3.63
140000	3.87
160000	3.85
180000	4.0
200000	4.07
220000	4.24
240000	4.42
260000	4.76
280000	6.57
300000	6.65
320000	6.8
340000	6.92
360000	7.14
380000	7.26
480000	7.25
580000	6.96
680000	7.34
780000	8.1
880000	8.44
1000000	8.72
1200000	8.84
1400000	9.39
1600000	10.0
1800000	10.87
2000000	11.34
2200000	11.8
2400000	12.32
2600000	12.76
2800000	13.31
3000000	13.33
