iter	value
15000	25.02
20000	28.69
25000	32.81
30000	36.14
35000	39.25
40000	41.1
45000	43.61
50000	46.1
55000	48.7
60000	51.12
65000	54.52
70000	56.8
75000	59.16
80000	62.22
100000	69.96
120000	76.85
140000	84.25
160000	89.09
180000	96.91
200000	103.68
220000	108.11
240000	114.73
260000	123.81
280000	127.18
300000	131.39
320000	136.31
340000	139.0
360000	141.45
380000	144.04
480000	162.53
580000	173.9
680000	186.34
780000	198.81
880000	211.42
1000000	223.76
1200000	246.28
1400000	262.4
1600000	276.95
1800000	286.85
2000000	297.08
2200000	307.86
2400000	334.24
2600000	387.42
2800000	420.01
3000000	443.46
3200000	460.55
3400000	479.47
3600000	498.33
3800000	509.43
4000000	517.83
4200000	516.21
4400000	519.61
