iter	value
5000	0.75
10000	0.79
15000	0.99
20000	1.03
25000	1.07
30000	2.66
35000	2.61
40000	2.7
45000	2.64
50000	2.61
55000	2.59
60000	2.61
65000	2.6
70000	2.57
75000	2.46
80000	2.42
100000	2.32
120000	2.25
140000	2.23
160000	2.16
180000	2.09
200000	2.08
220000	2.06
240000	1.65
260000	1.63
280000	1.61
300000	1.59
320000	1.56
340000	1.55
360000	1.53
380000	1.49
480000	1.29
580000	1.29
680000	1.21
780000	1.48
880000	1.45
1000000	1.35
1200000	1.35
1400000	1.28
1600000	1.26
1800000	1.4
2000000	1.32
2200000	1.35
2400000	1.36
2600000	1.38
2800000	1.41
3000000	1.35
3200000	1.42
3400000	1.41
3600000	1.4
3800000	1.41
4000000	1.4
4200000	1.44
4400000	1.44
4600000	1.43
4800000	1.38
5000000	1.36
5200000	1.36
5400000	1.34
5600000	1.3
5800000	1.31
