iter	value
5000	1.01
10000	0.98
15000	0.94
20000	0.87
25000	0.82
30000	0.83
35000	0.79
40000	0.78
45000	0.72
50000	0.66
55000	0.62
60000	0.6
65000	0.59
70000	0.59
75000	0.6
80000	0.58
100000	0.58
120000	0.54
140000	0.54
160000	0.53
180000	0.54
200000	0.59
220000	0.57
240000	0.57
260000	0.57
280000	0.56
300000	0.55
320000	0.55
340000	0.55
360000	0.53
380000	0.54
480000	0.52
580000	0.51
680000	0.5
780000	0.5
880000	0.5
1000000	0.51
1200000	0.51
1400000	0.49
1600000	0.46
1800000	0.46
2000000	0.46
2200000	0.45
2400000	0.44
2600000	0.43
2800000	0.49
3000000	0.49
3200000	0.5
3400000	0.5
3600000	0.49
3800000	0.48
4000000	0.48
4200000	0.47
4400000	0.45
