t	s(t)
1000	114.82758620689656
1050	118.48275862068965
1100	121.52873563218391
1150	124.89655172413794
1200	128.51724137931035
1250	131.8735632183908
1300	135.49425287356323
1350	138.2183908045977
1400	141.66666666666666
1450	145.09195402298852
1500	147.82758620689654
1550	150.67816091954023
1600	153.29885057471265
1650	156.33333333333334
1700	159.4712643678161
1750	162.11494252873564
1800	164.89655172413794
1850	167.4712643678161
1900	170.0
1950	172.77011494252875
2000	175.48275862068965
2050	177.97701149425288
2100	180.77011494252875
2150	183.4367816091954
2200	186.4022988505747
2250	189.0
2300	191.6206896551724
2350	193.7816091954023
2400	196.1494252873563
2450	198.01149425287358
2500	200.66666666666666
2550	202.93103448275863
2600	205.367816091954
2650	208.39080459770116
2700	210.3793103448276
2750	212.816091954023
2800	215.09195402298852
2850	217.33333333333334
2900	219.7471264367816
2950	222.3448275862069
3000	224.66666666666666
3050	226.94252873563218
3100	228.91954022988506
3150	230.9655172413793
3200	233.367816091954
3250	235.86206896551724
3300	238.28735632183907
3350	240.35632183908046
3400	242.83908045977012
3450	244.73563218390805
3500	246.632183908046
3550	248.5632183908046
3600	250.60919540229884
3650	252.75862068965517
3700	254.49425287356323
3750	256.57471264367814
3800	258.632183908046
3850	261.0689655172414
3900	263.35632183908046
3950	265.01149425287355
4000	266.9655172413793
4050	268.9310344827586
4100	270.85057471264366
4150	272.28735632183907
4200	273.98850574712645
4250	276.1034482758621
4300	278.32183908045977
4350	279.8390804597701
4400	282.08045977011494
4450	283.7701149425287
4500	285.632183908046
4550	287.2298850574713
4600	289.37931034482756
4650	290.98850574712645
4700	292.7241379310345
4750	294.1264367816092
4800	295.6666666666667
4850	297.42528735632186
4900	299.1609195402299
4950	301.17241379310343
