iter	value
5000	6.97
10000	13.22
15000	21.91
20000	26.31
25000	28.75
30000	32.42
35000	34.6
40000	35.84
45000	40.19
50000	47.4
55000	51.93
60000	58.49
65000	61.82
70000	68.16
75000	72.6
80000	78.38
100000	90.89
120000	101.25
140000	108.98
160000	115.68
180000	121.92
200000	129.48
220000	140.12
240000	148.55
260000	155.99
280000	168.85
300000	173.61
320000	186.76
340000	192.42
360000	201.66
380000	208.29
480000	245.17
580000	257.95
680000	279.82
780000	297.69
880000	314.38
1000000	375.74
1200000	423.34
1400000	477.67
