t	b(t)
100	3.0037896551724144
150	2.7136183908045983
200	2.639111494252874
250	2.6344022988505746
300	2.5558206896551714
350	2.5402091954022987
400	2.3785689655172413
450	2.3167770114942527
500	2.292175862068965
550	2.167406896551724
600	2.0843275862068964
650	2.0543712643678154
700	2.0535011494252866
750	2.011416091954023
800	1.9785356321839076
850	1.9568045977011492
900	1.9293034482758615
950	1.9231160919540224
1000	1.9040172413793106
1050	1.8707471264367816
1100	1.819847126436781
1150	1.7799793103448274
1200	1.7533448275862071
1250	1.732136781609196
1300	1.740968965517241
1350	1.7128137931034493
1400	1.694109195402299
1450	1.701920689655172
1500	1.6946574712643672
1550	1.6823655172413794
1600	1.6704655172413794
1650	1.6523505747126437
1700	1.656336781609195
1750	1.6330931034482756
1800	1.6176873563218395
1850	1.610265517241379
1900	1.6121494252873563
1950	1.5757045977011488
2000	1.541071264367816
2050	1.5237850574712646
2100	1.5021988505747128
2150	1.4902103448275863
2200	1.4707563218390802
2250	1.4621609195402299
2300	1.458186206896552
2350	1.4506229885057464
2400	1.448724137931035
2450	1.4461091954022987
2500	1.4390034482758622
2550	1.429641379310344
2600	1.4191459770114938
2650	1.412674712643678
2700	1.396783908045977
2750	1.3957712643678162
2800	1.395112643678161
2850	1.3740701149425294
2900	1.370805747126437
2950	1.3644643678160917
3000	1.3588528735632182
3050	1.3449310344827585
3100	1.3462068965517244
3150	1.325428735632184
3200	1.3170919540229886
3250	1.28621724137931
3300	1.2807310344827585
3350	1.2683275862068968
3400	1.2644195402298848
3450	1.2659574712643673
3500	1.2627862068965523
3550	1.2611862068965514
3600	1.257445977011494
3650	1.257757471264368
3700	1.2488229885057467
3750	1.2398344827586205
3800	1.237837931034483
3850	1.2339494252873562
3900	1.2267827586206896
3950	1.2213367816091953
4000	1.220322988505747
4050	1.2152632183908045
4100	1.2143218390804595
4150	1.2136275862068966
4200	1.2017609195402303
4250	1.2022298850574717
4300	1.1966781609195407
4350	1.1963712643678157
4400	1.1668011494252877
4450	1.158983908045977
4500	1.1601034482758619
4550	1.142085057471264
4600	1.1366839080459772
4650	1.1261620689655172
4700	1.12615632183908
4750	1.1244954022988505
4800	1.121162068965517
4850	1.122019540229885
4900	1.1012655172413788
4950	1.0945563218390804
