t	s(t)
10	149.82758620689654
60	246.60919540229884
110	325.4942528735632
160	394.88505747126436
210	458.71264367816093
260	517.9310344827586
310	570.2183908045977
360	624.8045977011494
410	673.5172413793103
460	721.4597701149426
510	768.2298850574713
560	811.528735632184
610	854.1379310344828
660	894.3333333333334
710	933.5977011494252
760	972.7241379310345
810	1008.0574712643678
860	1046.3563218390805
910	1081.0459770114942
960	1113.5632183908046
1010	1147.0689655172414
1060	1181.1494252873563
1110	1213.83908045977
1160	1246.4022988505747
1210	1280.1264367816093
1260	1312.712643678161
1310	1343.3103448275863
1360	1373.2988505747126
1410	1404.8620689655172
1460	1434.4597701149426
1510	1462.9885057471265
1560	1491.0459770114942
1610	1518.2413793103449
1660	1546.4942528735633
1710	1574.183908045977
1760	1601.9885057471265
1810	1628.4827586206898
1860	1655.9195402298851
1910	1682.8620689655172
1960	1708.6206896551723
2010	1734.942528735632
2060	1760.83908045977
2110	1787.5057471264367
2160	1812.8735632183907
2210	1838.3218390804598
2260	1863.0919540229886
2310	1886.9540229885058
2360	1911.5747126436781
2410	1936.367816091954
2460	1961.4252873563219
2510	1984.712643678161
2560	2008.8735632183907
2610	2032.9080459770114
2660	2056.4712643678163
2710	2080.448275862069
2760	2102.896551724138
2810	2127.32183908046
2860	2149.2183908045977
2910	2170.551724137931
2960	2193.3563218390805
3010	2215.793103448276
3060	2238.1264367816093
3110	2260.137931034483
3160	2281.896551724138
3210	2304.632183908046
3260	2327.9885057471265
3310	2349.344827586207
3360	2371.0114942528735
3410	2391.919540229885
3460	2412.655172413793
3510	2434.2988505747126
3560	2454.9655172413795
3610	2475.1724137931033
3660	2497.057471264368
3710	2516.4942528735633
3760	2537.080459770115
3810	2556.919540229885
3860	2577.402298850575
3910	2596.114942528736
3960	2615.896551724138
4010	2635.1494252873563
4060	2653.8045977011493
4110	2674.4712643678163
4160	2694.287356321839
4210	2713.5862068965516
4260	2732.655172413793
4310	2751.862068965517
4360	2771.2758620689656
4410	2789.367816091954
4460	2809.3563218390805
4510	2827.114942528736
4560	2845.310344827586
4610	2863.32183908046
4660	2881.7586206896553
4710	2900.942528735632
4760	2919.3563218390805
4810	2937.367816091954
4860	2955.5287356321837
4910	2973.390804597701
4960	2991.7241379310344
